position
"{'lat': 35.444462, 'lon': -94.325476}"
"{'lat': 35.444154, 'lon': -94.326139}"
"{'lat': 35.485318, 'lon': -94.226704}"
"{'lat': 35.076244, 'lon': -94.62924}"
"{'lat': 35.486933, 'lon': -94.226593}"
"{'lat': 35.412023, 'lon': -94.39126}"
"{'lat': 35.424736, 'lon': -94.371214}"
"{'lat': 35.414562, 'lon': -94.388164}"
"{'lat': 35.094482, 'lon': -94.630005}"
"{'lat': 35.490787, 'lon': -94.226597}"
"{'lat': 35.491106, 'lon': -94.22659}"
"{'lat': 35.09385, 'lon': -94.631239}"
"{'lat': 35.491945, 'lon': -94.226428}"
"{'lat': 35.511394, 'lon': -93.820974}"
"{'lat': 35.512292, 'lon': -93.822413}"
"{'lat': 34.552309, 'lon': -93.634021}"
"{'lat': 35.459236, 'lon': -94.356161}"
"{'lat': 35.07359, 'lon': -84.047155}"
"{'lat': 35.07903, 'lon': -84.040329}"
"{'lat': 35.080663, 'lon': -84.03575}"
"{'lat': 35.079617, 'lon': -84.03951}"
"{'lat': 35.080003, 'lon': -84.039041}"
"{'lat': 35.10581, 'lon': -84.008997}"
"{'lat': 35.10563, 'lon': -84.014439}"
"{'lat': 35.108493, 'lon': -84.009849}"
"{'lat': 35.109532, 'lon': -84.010002}"
"{'lat': 35.11489, 'lon': -83.99196}"
"{'lat': 34.878731, 'lon': -83.958076}"
"{'lat': 34.875684, 'lon': -83.971602}"
"{'lat': 34.876544, 'lon': -83.960209}"
"{'lat': 34.874909, 'lon': -83.963928}"
"{'lat': 34.875254, 'lon': -83.959741}"
"{'lat': 34.874911, 'lon': -83.957837}"
"{'lat': 34.872463, 'lon': -83.965651}"
"{'lat': 34.872302, 'lon': -83.96409}"
"{'lat': 34.871365, 'lon': -83.964501}"
"{'lat': 34.872658, 'lon': -83.954357}"
"{'lat': 34.933457, 'lon': -83.845876}"
"{'lat': 35.035272, 'lon': -83.821912}"
"{'lat': 35.03536, 'lon': -83.819568}"
"{'lat': 35.03877, 'lon': -83.818174}"
"{'lat': 34.95596, 'lon': -83.75957}"
"{'lat': 34.953531, 'lon': -83.758388}"
"{'lat': 34.95211, 'lon': -83.75847}"
"{'lat': 34.943414, 'lon': -83.751607}"
"{'lat': 35.202213, 'lon': -83.837298}"
"{'lat': 35.201089, 'lon': -83.81386}"
"{'lat': 35.196783, 'lon': -83.800293}"
"{'lat': 34.877338, 'lon': -84.300241}"
"{'lat': 34.875233, 'lon': -84.311725}"
"{'lat': 34.87398, 'lon': -84.31541}"
"{'lat': 34.87418, 'lon': -84.32193}"
"{'lat': 34.871154, 'lon': -84.325244}"
"{'lat': 34.871085, 'lon': -84.325254}"
"{'lat': 34.871834, 'lon': -84.327782}"
"{'lat': 35.028911, 'lon': -84.384465}"
"{'lat': 35.31643, 'lon': -83.80029}"
"{'lat': 35.325374, 'lon': -83.803668}"
"{'lat': 35.32608, 'lon': -83.803058}"
"{'lat': 34.701542, 'lon': -83.732195}"
"{'lat': 34.701711, 'lon': -83.727569}"
"{'lat': 34.700851, 'lon': -83.72817}"
"{'lat': 34.69882, 'lon': -83.719787}"
"{'lat': 35.355294, 'lon': -84.266795}"
"{'lat': 35.369046, 'lon': -84.301762}"
"{'lat': 34.59491, 'lon': -83.763794}"
"{'lat': 34.594273, 'lon': -83.762915}"
"{'lat': 34.592792, 'lon': -83.761834}"
"{'lat': 34.578857, 'lon': -83.764796}"
"{'lat': 34.53429, 'lon': -83.97593}"
"{'lat': 34.525673, 'lon': -83.976959}"
"{'lat': 35.331399, 'lon': -83.582377}"
"{'lat': 34.68471, 'lon': -84.47443}"
"{'lat': 34.877537, 'lon': -83.40154}"
"{'lat': 34.94173, 'lon': -83.387028}"
"{'lat': 34.686999, 'lon': -84.485174}"
"{'lat': 34.867965, 'lon': -83.402462}"
"{'lat': 34.678156, 'lon': -84.478631}"
"{'lat': 34.875603, 'lon': -83.398982}"
"{'lat': 34.88178, 'lon': -83.3969}"
"{'lat': 34.880509, 'lon': -83.397089}"
"{'lat': 34.677328, 'lon': -84.479904}"
"{'lat': 34.877611, 'lon': -83.396182}"
"{'lat': 34.878383, 'lon': -83.395729}"
"{'lat': 34.681473, 'lon': -84.491143}"
"{'lat': 34.680375, 'lon': -84.490904}"
"{'lat': 35.165685, 'lon': -83.400512}"
"{'lat': 35.163435, 'lon': -83.392484}"
"{'lat': 35.160043, 'lon': -83.391085}"
"{'lat': 35.161913, 'lon': -83.390999}"
"{'lat': 35.165861, 'lon': -83.391696}"
"{'lat': 34.658673, 'lon': -84.492695}"
"{'lat': 35.159457, 'lon': -83.380529}"
"{'lat': 34.65507, 'lon': -84.49327}"
"{'lat': 34.654515, 'lon': -84.493369}"
"{'lat': 34.65349, 'lon': -84.494895}"
"{'lat': 35.164935, 'lon': -83.370944}"
"{'lat': 35.338968, 'lon': -84.520873}"
"{'lat': 35.341961, 'lon': -84.520323}"
"{'lat': 35.34275, 'lon': -84.519809}"
"{'lat': 35.186967, 'lon': -83.372036}"
"{'lat': 35.18767, 'lon': -83.37149}"
"{'lat': 34.485184, 'lon': -83.763428}"
"{'lat': 35.193383, 'lon': -83.364627}"
"{'lat': 35.182945, 'lon': -83.356089}"
"{'lat': 35.18371, 'lon': -83.355943}"
"{'lat': 35.194736, 'lon': -83.360435}"
"{'lat': 34.604271, 'lon': -83.519443}"
"{'lat': 34.602593, 'lon': -83.517269}"
"{'lat': 34.601044, 'lon': -83.517786}"
"{'lat': 34.42149, 'lon': -84.120125}"
"{'lat': 34.543511, 'lon': -83.545703}"
"{'lat': 44.995142, 'lon': -124.004802}"
"{'lat': 44.994066, 'lon': -124.00581}"
"{'lat': 44.97948, 'lon': -124.00966}"
"{'lat': 44.961724, 'lon': -124.014754}"
"{'lat': 45.019692, 'lon': -123.947891}"
"{'lat': 44.654259, 'lon': -124.053359}"
"{'lat': 44.647826, 'lon': -124.053463}"
"{'lat': 44.646855, 'lon': -124.052435}"
"{'lat': 44.645742, 'lon': -124.052618}"
"{'lat': 44.638621, 'lon': -124.052891}"
"{'lat': 45.469147, 'lon': -123.843698}"
"{'lat': 45.4726, 'lon': -123.844715}"
"{'lat': 44.929504, 'lon': -123.315796}"
"{'lat': 44.919541, 'lon': -123.316316}"
"{'lat': 44.929252, 'lon': -123.309643}"
"{'lat': 44.92979, 'lon': -123.308278}"
"{'lat': 44.930722, 'lon': -123.306618}"
"{'lat': 44.848961, 'lon': -123.237719}"
"{'lat': 44.848764, 'lon': -123.228847}"
"{'lat': 44.848248, 'lon': -123.228915}"
"{'lat': 44.845625, 'lon': -123.22968}"
"{'lat': 44.851156, 'lon': -123.218005}"
"{'lat': 44.850974, 'lon': -123.205616}"
"{'lat': 45.192687, 'lon': -123.21228}"
"{'lat': 45.215485, 'lon': -123.198445}"
"{'lat': 45.604643, 'lon': -123.945088}"
"{'lat': 45.216223, 'lon': -123.197767}"
"{'lat': 45.210329, 'lon': -123.189568}"
"{'lat': 45.225651, 'lon': -123.188422}"
"{'lat': 45.227023, 'lon': -123.181755}"
"{'lat': 45.226423, 'lon': -123.180942}"
"{'lat': 45.201846, 'lon': -123.167048}"
"{'lat': 45.227724, 'lon': -123.175027}"
"{'lat': 45.228132, 'lon': -123.17376}"
"{'lat': 45.228422, 'lon': -123.172163}"
"{'lat': 45.229227, 'lon': -123.172436}"
"{'lat': 45.229346, 'lon': -123.171615}"
"{'lat': 44.539343, 'lon': -123.365869}"
"{'lat': 44.552175, 'lon': -123.307105}"
"{'lat': 44.938293, 'lon': -123.06372}"
"{'lat': 44.591484, 'lon': -123.253846}"
"{'lat': 44.590869, 'lon': -123.254297}"
"{'lat': 44.592935, 'lon': -123.251991}"
"{'lat': 44.591518, 'lon': -123.252799}"
"{'lat': 44.590778, 'lon': -123.25302}"
"{'lat': 44.585846, 'lon': -123.257169}"
"{'lat': 44.585842, 'lon': -123.256996}"
"{'lat': 44.56713, 'lon': -123.277989}"
"{'lat': 44.585213, 'lon': -123.256215}"
"{'lat': 44.56826, 'lon': -123.275551}"
"{'lat': 44.588535, 'lon': -123.251016}"
"{'lat': 45.343192, 'lon': -123.17965}"
