restaurant_name,name_id
McDonald's,652
It's Just Wings,653
Buffalo Wild Wings,654
Panda Express,655
Jack in The Box,656
KFC Chula Vista,657
McDonald's,658
Ahan Lao,659
Taco Bell,660
Wendy's,661
Carl's Junior,662
Tacos El Poblano,663
BURGER KING,664
It's Just Wings,665
Chick-fil-A,666
Jack in The Box,667
Taco Bell,668
Filippis Pizza Grotto,669
Jack in The Box,670
Bull's Eye Burgers & Brew,671
BURGER KING,672
Jack in The Box,673
McDonald's,674
Taco Bell,675
Cinnabon Las Americas Premium Outlets,676
McDonald's,677
Carl's Junior,678
Panda Express,679
McDonald's,680
Popeyes,681
KFC,682
BURGER KING,683
KFC,684
Taqueria Revolucion,685
Jack in The Box,686
Tuetano Taqueria,687
Carl's Junior,688
Jack in The Box,689
McDonald's,690
Carl's Junior,691
McDonald's,692
KFC,693
Wendy's,694
Luzita's Taco Shop,695
Albertos,696
Jack in The Box,697
Oasis Ice Cream Parlor,698
Taco Bell,699
KFC Imperial Beach,700
Chick-fil-A,701
McDonald's,702
Popeyes,703
Taco Bell,704
Carl's Junior,705
BURGER KING,706
McDonald's,707
McDonald's,708
El Pollo Loco,709
Carl's Junior,710
Armando's Mexican Food,711
Rally's,712
KFC San Diego,713
Don Pancho's,714
All American Sandwiches 'N Pizza,715
Five Guys,716
Jack in The Box,717
Wienerschnitzel,718
Asada Taco Shop,719
Panda Express,720
Great Happiness Chinese Fast Food 2 Cove,721
Jack in The Box,722
Mrs. Rice's Oriental Restaurant,723
Jack in The Box,724
Yoshinoya,725
KFC Chula Vista,726
McDonald's,727
El Pollo Loco,728
La India Bonita,729
Wienerschnitzel,730
BURGER KING,731
Panda Express,732
Carl's Junior,733
McDonald's,734
KFC Chula Vista,735
McDonald's,736
Carl's Junior,737
Rally's,738
In-N-Out Burger,739
Jack in The Box,740
It's Just Wings,741
Buffalo Wild Wings,742
Panda Express,743
Jack in The Box,744
McDonald's,745
BURGER KING,746
Five Guys,747
Carl's Junior,748
Canada Steak Burger,749
Carl's Junior,750
Lolita's Taco Shop,751
Buffalo Wild Wings,752
McDonald's,753
Chick-fil-A,754
El Pollo Loco,755
Tacos El Gordo de Tijuana,756
Wienerschnitzel,757
Jack in The Box,758
Tacos El Poblano,759
BURGER KING,760
It's Just Wings,761
KFC Chula Vista,762
McDonald's,763
Taco Bell,764
Ahan Lao,765
Jack in The Box,766
Jack in The Box,767
Jack in The Box,768
Jack in The Box,769
McDonald's,770
Carl's Junior,771
McDonald's,772
Jack in The Box,773
Taco Bell,774
Carl's Junior,775
McDonald's,776
Carl's Junior,777
Panda Express,778
McDonald's,779
Popeyes,780
Cinnabon Las Americas Premium Outlets,781
KFC,782
BURGER KING,783
Taqueria Revolucion,784
KFC,785
Tuetano Taqueria,786
Jack in The Box,787
Carl's Junior,788
Wendy's,789
McDonald's,790
KFC,791
Jack in The Box,792
Chick-fil-A,793
Luzita's Taco Shop,794
Albertos,795
Taco Bell,796
Carl's Junior,797
Oasis Ice Cream Parlor,798
Taco Bell,799
McDonald's,800
McDonald's,801
KFC Imperial Beach,802
KFC San Diego,803
Popeyes,804
El Paso Taco Shop,805
Armando's Mexican Food,806
BURGER KING,807
McDonald's,808
El Pollo Loco,809
Carl's Junior,810
Rally's,811
All American Sandwiches 'N Pizza,812
Wienerschnitzel,813
Asada Taco Shop,814
Don Pancho's,815
Five Guys,816
Jack in The Box,817
Panda Express,818
Great Happiness Chinese Fast Food 2 Cove,819
Jack in The Box,820
La India Bonita,821
Mrs. Rice's Oriental Restaurant,822
Jack in The Box,823
KFC Chula Vista,824
El Pollo Loco,825
Yoshinoya,826
McDonald's,827
Wienerschnitzel,828
BURGER KING,829
Panda Express,830
KFC Chula Vista,831
McDonald's,832
In-N-Out Burger,833
Carl's Junior,834
McDonald's,835
It's Just Wings,836
Buffalo Wild Wings,837
Panda Express,838
Jack in The Box,839
Carl's Junior,840
Rally's,841
Carl's Junior,842
Cinnabon Gran Plaza Outlets,843
Auntie Anne's Gran Plaza Outlets,844
Chick-fil-A,845
Rally's,846
McDonald's,847
Jack in The Box,848
Jack in The Box,849
Tortas & Beer,850
Jack in The Box,851
BURGER KING,852
Canada Steak Burger,853
BURGER KING,854
Lolita's Taco Shop,855
McDonald's,856
McDonald's,857
Jack in The Box,858
McDonald's,859
Tacos El Poblano,860
BURGER KING,861
BURGER KING,862
Five Guys,863
Carl's Junior,864
BURGER KING,865
McDonald's,866
Jack in The Box,867
Paricutin,868
Carl's Junior,869
McDonald's,870
Jack in The Box,871
McDonald's,872
Panda Express,873
KFC Nogales,874
Wendy's,875
Manny's Vacuero Burgers,876
Jack in The Box,877
McDonald's,878
Carl's Junior,879
Jack in The Box,880
BURGER KING,881
One Stop Burger Shop,882
Jack in The Box,883
Carl's Junior,884
Jack in The Box,885
KFC Yuma,886
One Stop Burger Shop,887
Cinnabon Gran Plaza Outlets,888
Rally's,889
Auntie Anne's Gran Plaza Outlets,890
Carl's Junior,891
McDonald's,892
Jack in The Box,893
Tacos El Cositas,894
Tortas & Beer,895
McDonald's,896
Jack in The Box,897
Panda Express,898
Jack in The Box,899
McDonald's,900
KFC Yuma,901
Del Taco,902
Dog Haus,903
BURGER KING,904
BURGER KING,905
Carl's Junior,906
Wendy's,907
Wienerschnitzel,908
Jack in The Box,909
Arby's,910
McDonald's,911
McDonald's,912
Las Palapas Taco Grill,913
Panda Express,914
McDonald's,915
Del Taco,916
McDonald's,917
Taco Bell,918
Taco Bell,919
Arby's Roast Beef,920
Jack in The Box,921
Jack in The Box,922
Carl's Junior,923
Taco Bell,924
Jack in The Box,925
Rally's,926
Jack in The Box,927
Jack in The Box,928
Team Cisneros,929
Taco Monster,930
Arby's,931
KFC Yuma,932
A&W,933
Popeyes,934
Arby's,935
Wienerschnitzel,936
KFC Green Valley,937
McDonald's,938
McDonald's,939
Filiberto's Mexican Food,940
Taco Bell,941
Jack in The Box,942
In N Out Burger Yuma Az,943
Del Taco,944
BURGER KING,945
Blimpie,946
McDonald's,947
BURGER KING,948
Arby's,949
Carl's Junior,950
Chick-fil-A,951
Wendy's,952
Five Guys,953
Panda Express,954
Rally's,955
KFC Calexico,956
Jectors Burritos,957
Panda Express,958
It's Just Wings,959
Taco Bell,960
Buffalo Wild Wings,961
BURGER KING,962
McDonald's,963
Jack in The Box,964
Paricutin,965
Carl's Junior,966
McDonald's,967
Jack in The Box,968
McDonald's,969
Panda Express,970
KFC Nogales,971
Wendy's,972
Manny's Vacuero Burgers,973
McDonald's,974
BURGER KING,975
Popeyes,976
Taco Bell,977
Jack in The Box,978
Popeyes,979
Taco Bell,980
143 Street Tacos,981
Filibertos,982
Jack in The Box,983
KFC Sierra Vista,984
Wendy's,985
McDonald's,986
Carl's Junior,987
Arby's,988
Culvers,989
Buffalo Wild Wings,990
Taco Bell,991
It's Just Wings,992
McDonald's,993
BURGER KING,994
Arby's,995
Panda Express,996
BURGER KING,997
KFC Green Valley,998
McDonald's,999
Arby's,1000
Arby's,1001
BURGER KING,1002
Taco Bell,1003
Culver's,1004
Popeyes,1005
Carl's Junior,1006
Rigoberto's Mexican Food,1007
McDonald's,1008
Taco Bell,1009
Arby's,1010
BURGER KING,1011
Carl's Junior,1012
Taco Bell,1013
McDonald's,1014
Panda Express,1015
Roadrunner Markets,1016
McDonald's,1017
Jack in The Box,1018
Carl's Junior,1019
Jack in The Box,1020
KFC Tucson,1021
McDonald's,1022
Chick-fil-A,1023
Kolsrud Fast Food,1024
Carl's Junior,1025
Taco Bell,1026
Arby's,1027
Wendy's,1028
BURGER KING,1029
Hamburger Stand,1030
Panda Express,1031
It's Just Wings,1032
McDonald's,1033
McDonald's,1034
Yokohama Asian Express,1035
Jack in The Box,1036
Fito's Taco Shop,1037
Taco Bell,1038
McDonald's,1039
BURGER KING,1040
Jack in The Box,1041
BURGER KING,1042
Chickenuevo,1043
Carl's Junior,1044
Eegee's,1045
Wendy's,1046
McDonald's,1047
Acai Paradise,1048
A&W,1049
Popeyes,1050
Panda Express,1051
Freddy's Frozen Custurd & Steakburgers,1052
Arby's,1053
BURGER KING,1054
McDonald's,1055
Jack in The Box,1056
McDonald's,1057
Paricutin,1058
Carl's Junior,1059
Jack in The Box,1060
McDonald's,1061
KFC Nogales,1062
Panda Express,1063
Wendy's,1064
Manny's Vacuero Burgers,1065
McDonald's,1066
BURGER KING,1067
BURGER KING,1068
Popeyes,1069
Taco Bell,1070
Jack in The Box,1071
143 Street Tacos,1072
Taco Bell,1073
Popeyes,1074
KFC Sierra Vista,1075
Filibertos,1076
Jack in The Box,1077
Wendy's,1078
Arby's,1079
McDonald's,1080
Carl's Junior,1081
Culvers,1082
Buffalo Wild Wings,1083
Taco Bell,1084
It's Just Wings,1085
McDonald's,1086
Panda Express,1087
BURGER KING,1088
BURGER KING,1089
Carl's Junior,1090
Taco Bell,1091
McDonald's,1092
Arby's,1093
KFC Green Valley,1094
McDonald's,1095
Arby's,1096
Arby's,1097
BURGER KING,1098
Taco Bell,1099
Culver's,1100
Popeyes,1101
Carl's Junior,1102
Rigoberto's Mexican Food,1103
McDonald's,1104
Taco Bell,1105
Arby's,1106
Panda Express,1107
Roadrunner Markets,1108
Fito's Taco Shop,1109
Taco Bell,1110
Chick-fil-A,1111
Jack in The Box,1112
KFC Tucson,1113
McDonald's,1114
KFC Benson,1115
BURGER KING,1116
Taco Bell,1117
McDonald's,1118
Kolsrud Fast Food,1119
BURGER KING,1120
Hamburger Stand,1121
Carl's Junior,1122
Taco Bell,1123
Arby's,1124
Wendy's,1125
Panda Express,1126
It's Just Wings,1127
McDonald's,1128
Popeyes,1129
Yokohama Asian Express,1130
Panda Express,1131
Jack in The Box,1132
McDonald's,1133
Baggin's Gourmet Sandwiches,1134
Freddy's Frozen Custurd & Steakburgers,1135
Arby's,1136
Taco Bell,1137
BURGER KING,1138
Wendy's,1139
A&W,1140
Adolfo's Taco Shop,1141
Chickenuevo,1142
Jack in The Box,1143
Carl's Junior,1144
Eegee's,1145
Wendy's,1146
McDonald's,1147
Acai Paradise,1148
Taco Bell,1149
