index,locationabbr,state_code,State_County_Code,POVERTY_RATE,YEAR
440,GA,13,13109,24.9,2010
441,GA,13,13111,18.2,2010
442,GA,13,13113,6.7,2010
443,GA,13,13115,19.1,2010
444,GA,13,13117,7.2,2010
445,GA,13,13119,18.0,2010
446,GA,13,13121,17.7,2010
447,GA,13,13123,15.9,2010
448,GA,13,13125,18.5,2010
449,GA,13,13127,18.8,2010
450,GA,13,13129,18.5,2010
451,GA,13,13131,28.1,2010
452,GA,13,13133,27.4,2010
453,GA,13,13135,13.6,2010
454,GA,13,13137,17.3,2010
455,GA,13,13139,17.8,2010
456,GA,13,13141,33.1,2010
457,GA,13,13143,20.7,2010
458,GA,13,13145,9.4,2010
459,GA,13,13147,23.0,2010
460,GA,13,13149,21.3,2010
461,GA,13,13151,10.2,2010
462,GA,13,13153,14.1,2010
463,GA,13,13155,24.0,2010
464,GA,13,13157,15.7,2010
465,GA,13,13159,18.9,2010
466,GA,13,13161,23.6,2010
467,GA,13,13163,28.9,2010
468,GA,13,13165,28.9,2010
469,GA,13,13167,30.5,2010
470,GA,13,13169,11.9,2010
471,GA,13,13171,17.8,2010
472,GA,13,13173,22.6,2010
473,GA,13,13175,19.7,2010
474,GA,13,13177,10.3,2010
475,GA,13,13179,21.8,2010
476,GA,13,13181,20.8,2010
477,GA,13,13183,20.8,2010
478,GA,13,13185,23.3,2010
479,GA,13,13187,16.5,2010
480,GA,13,13189,21.4,2010
481,GA,13,13191,19.0,2010
482,GA,13,13193,31.7,2010
483,GA,13,13195,17.2,2010
484,GA,13,13197,23.8,2010
485,GA,13,13199,20.1,2010
486,GA,13,13201,24.4,2010
487,GA,13,13205,29.3,2010
488,GA,13,13207,14.5,2010
489,GA,13,13209,23.5,2010
490,GA,13,13211,16.5,2010
491,GA,13,13213,19.1,2010
492,GA,13,13215,20.2,2010
493,GA,13,13217,15.1,2010
494,GA,13,13219,8.2,2010
495,GA,13,13221,16.6,2010
496,GA,13,13223,8.8,2010
497,GA,13,13225,25.7,2010
498,GA,13,13227,13.6,2010
499,GA,13,13229,18.3,2010
500,GA,13,13231,12.7,2010
501,GA,13,13233,22.1,2010
502,GA,13,13235,20.8,2010
503,GA,13,13237,17.8,2010
504,GA,13,13239,28.9,2010
505,GA,13,13241,18.1,2010
506,GA,13,13243,27.6,2010
507,GA,13,13245,25.9,2010
508,GA,13,13247,14.9,2010
509,GA,13,13249,17.6,2010
510,GA,13,13251,23.7,2010
511,GA,13,13253,27.5,2010
512,GA,13,13255,22.5,2010
513,GA,13,13257,22.2,2010
514,GA,13,13259,38.1,2010
515,GA,13,13261,30.6,2010
516,GA,13,13263,21.7,2010
517,GA,13,13265,30.3,2010
518,GA,13,13267,28.0,2010
519,GA,13,13269,23.6,2010
520,GA,13,13271,32.9,2010
521,GA,13,13273,29.3,2010
522,GA,13,13275,26.4,2010
523,GA,13,13277,22.6,2010
524,GA,13,13279,28.1,2010
525,GA,13,13281,15.0,2010
526,GA,13,13283,29.6,2010
527,GA,13,13285,21.1,2010
528,GA,13,13287,28.0,2010
529,GA,13,13289,25.1,2010
530,GA,13,13291,19.1,2010
531,GA,13,13293,21.3,2010
532,GA,13,13295,17.8,2010
533,GA,13,13297,14.5,2010
534,GA,13,13299,23.2,2010
535,GA,13,13301,27.7,2010
536,GA,13,13303,30.6,2010
537,GA,13,13305,22.8,2010
538,GA,13,13307,21.8,2010
539,GA,13,13309,33.2,2010
540,GA,13,13311,16.8,2010
541,GA,13,13313,20.2,2010
542,GA,13,13315,30.0,2010
543,GA,13,13317,24.9,2010
544,GA,13,13319,21.1,2010
545,GA,13,13321,21.2,2010
546,HI,15,15001,18.3,2010
547,HI,15,15003,9.5,2010
548,HI,15,15005,,2010
