lat,lon,coordinates_id
28.706482,-100.488057,1744
28.705637,-100.485153,1745
28.706173,-100.48439,1746
28.701273,-100.481235,1747
28.705708,-100.483453,1748
28.67052,-100.454577,1749
28.708442,-100.485501,1750
28.707195,-100.483093,1751
28.708424,-100.483597,1752
28.707956,-100.483643,1753
28.714025,-100.483412,1754
28.709527,-100.479635,1755
28.709408,-100.476952,1756
28.739552,-100.496595,1757
28.73923,-100.496834,1758
28.740843,-100.497067,1759
28.719484,-100.477106,1760
28.752274,-100.49675,1761
29.369,-100.899,1762
29.375856,-100.90218,1763
29.379029,-100.904245,1764
29.377531,-100.903484,1765
29.380093,-100.903769,1766
29.381361,-100.904646,1767
29.369028,-100.889321,1768
29.369686,-100.886945,1769
29.389009,-100.90577,1770
29.390525,-100.903366,1771
29.392486,-100.905828,1772
29.393142,-100.904358,1773
29.393867,-100.903713,1774
29.395931,-100.903463,1775
29.395746,-100.90177,1776
27.501533,-99.511415,1777
27.501546,-99.511416,1778
27.501967,-99.51186,1779
27.437516,-99.481738,1780
27.505474,-99.508682,1781
27.502071,-99.507781,1782
27.505578,-99.507634,1783
27.504511,-99.505432,1784
27.446776,-99.477365,1785
27.509055,-99.504268,1786
27.451115,-99.478584,1787
27.506547,-99.502535,1788
27.447132,-99.476212,1789
27.511295,-99.504309,1790
27.509364,-99.503894,1791
27.453624,-99.476829,1792
27.516834,-99.5038,1793
27.452891,-99.475531,1794
26.89419,-99.263638,1795
26.896792,-99.263412,1796
27.462845,-99.476361,1797
27.523853,-99.50415,1798
27.530736,-99.50394,1799
27.508684,-99.493652,1800
27.535313,-99.504051,1801
27.473745,-99.476438,1802
27.538781,-99.503882,1803
27.522139,-99.496002,1804
27.542448,-99.503784,1805
27.543988,-99.503819,1806
27.477254,-99.473981,1807
27.543593,-99.503834,1808
27.546055,-99.504007,1809
27.548992,-99.5037,1810
27.54586,-99.501762,1811
27.553579,-99.504981,1812
27.452469,-99.45879,1813
27.551125,-99.501392,1814
27.50634,-99.481789,1815
27.506847,-99.480194,1816
27.552212,-99.500544,1817
27.525318,-99.487434,1820
27.490795,-99.471199,1822
27.562035,-99.502274,1823
27.506857,-99.477592,1824
27.517971,-99.480064,1825
27.567432,-99.502138,1826
27.589945,-99.512243,1827
27.590466,-99.512399,1828
27.613844,-99.523922,1829
27.566605,-99.501897,1830
27.586148,-99.510903,1831
27.591158,-99.512749,1832
27.614059,-99.522778,1833
27.506171,-99.47283,1906
27.506119,-99.472458,1907
27.503257,-99.469858,1909
27.53105,-99.482086,1912
27.531036,-99.480613,1913
27.472232,-99.447668,1915
27.566547,-99.499146,1918
27.585812,-99.509337,1920
27.511934,-99.467728,1921
27.511423,-99.467728,1922
27.541449,-99.483886,1923
27.541878,-99.483798,1924
27.567307,-99.497103,1926
27.543763,-99.483701,1928
27.530289,-99.476003,1929
26.403088,-99.015045,1932
26.402255,-99.011424,1933
26.401713,-99.006269,1934
26.403586,-98.991884,1935
26.408374,-98.97497,1944
26.409059,-98.956468,1961
27.494621,-99.449744,2000
27.531058,-99.473582,2001
27.545091,-99.482041,2003
27.527411,-99.468414,2009
27.530224,-99.46769,2010
27.503394,-99.447184,2012
27.555676,-99.479118,2014
27.494805,-99.43794,2015
27.515879,-99.449621,2016
27.517322,-99.449903,2017
27.518043,-99.449139,2018
27.518847,-99.449012,2019
27.49483,-99.432798,2020
27.492775,-99.429804,2021
27.573366,-99.473952,2022
27.574137,-99.47467,2023
26.370927,-98.860629,2032
26.399629,-98.85341,2034
26.378242,-98.810549,2055
26.37111,-98.799253,2059
26.370392,-98.798329,2060
26.371368,-98.798339,2061
26.368472,-98.794938,2064
26.36961,-98.794841,2066
26.364581,-98.791519,2068
26.362947,-98.78812,2073
26.306136,-98.640299,2137
26.272465,-98.553172,2154
26.248139,-98.475343,2234
26.247978,-98.473838,2235
26.246673,-98.471671,2236
26.245679,-98.455793,2237
26.246205,-98.443055,2238
26.241459,-98.434017,2239
26.235553,-98.392779,2240
26.232716,-98.371178,2241
26.232019,-98.362083,2242
26.231367,-98.361471,2243
26.21546,-98.349759,2244
26.265718,-98.368578,2245
26.201387,-98.332442,2246
26.200242,-98.32784,2247
26.215343,-98.335571,2248
26.232196,-98.344282,2249
26.201619,-98.327039,2250
26.201431,-98.32431,2251
26.264255,-98.357448,2252
26.101695,-98.267553,2253
26.216499,-98.324631,2254
26.105259,-98.2664,2255
26.221567,-98.325111,2256
26.199663,-98.311325,2257
26.214077,-98.317037,2258
26.229465,-98.325228,2259
26.107552,-98.261238,2260
26.214114,-98.315979,2261
26.230029,-98.323821,2262
26.155011,-98.28181,2263
26.107534,-98.256772,2264
26.291771,-98.351341,2265
26.325139,-98.370752,2266
26.194468,-98.289133,2267
26.21101,-98.29745,2268
26.193835,-98.286829,2269
26.194481,-98.284411,2270
26.099567,-98.236703,2271
26.19628,-98.285086,2272
26.200722,-98.286959,2273
26.258793,-98.317698,2274
26.211837,-98.291767,2275
26.257687,-98.316762,2276
26.196181,-98.283006,2277
26.25838,-98.316862,2278
26.25756,-98.316088,2279
26.196232,-98.282141,2280
26.258399,-98.3157,2281
26.210317,-98.287259,2282
26.150059,-98.255311,2283
26.209873,-98.28562,2284
26.19506,-98.276705,2285
26.224848,-98.292316,2286
26.19529,-98.273064,2287
26.097642,-98.220435,2288
26.164548,-98.252574,2289
26.224459,-98.283264,2290
26.194106,-98.264347,2291
26.287758,-98.315329,2292
26.195569,-98.264074,2293
26.28572,-98.313502,2294
26.288637,-98.314103,2295
26.151108,-98.239647,2296
26.22424,-98.277476,2297
26.196909,-98.261572,2298
26.207522,-98.260976,2299
26.194751,-98.252315,2300
26.092715,-98.200081,2301
