lat,lon,coordinates_id
32.666047,-115.496648,461
32.66812,-115.50245,463
32.596461,-114.708307,464
32.597101,-114.703838,465
32.671009,-115.498762,467
32.672165,-115.498986,471
32.672716,-115.498334,472
31.334246,-110.943737,478
31.335156,-110.942509,479
31.33654,-110.939854,480
31.365415,-110.94783,481
31.365074,-110.947229,482
31.360659,-110.932501,483
31.365631,-110.939638,484
31.366881,-110.939693,485
31.367059,-110.938287,486
31.366273,-110.937292,487
31.43082,-110.962011,488
31.488411,-111.007196,489
31.504677,-110.256864,490
31.55528,-110.358075,491
31.5535,-110.345,492
31.52962,-110.26,493
31.531311,-110.257996,494
31.565862,-110.337361,495
31.565524,-110.33733,496
31.55283,-110.3013,497
31.554973,-110.292139,498
31.554325,-110.291672,499
31.554123,-110.287727,500
31.553529,-110.286942,501
31.554282,-110.278708,502
31.554247,-110.277125,503
31.555008,-110.278069,504
31.54931,-110.2582,505
31.551689,-110.256935,506
31.553951,-110.258163,507
31.555206,-110.25662,508
31.560323,-110.260078,509
31.558869,-110.256571,510
31.846543,-110.99416,511
31.55994,-110.2579,512
31.400908,-109.917375,513
31.85237,-110.997497,514
31.852121,-110.995186,515
31.85419,-110.993315,516
31.901167,-110.9864,517
31.902976,-110.986793,518
31.905767,-110.9883,519
31.908487,-110.98286,520
31.909518,-110.980387,521
31.910727,-110.98082,522
31.911991,-110.980379,523
31.957345,-110.981709,524
31.957602,-110.981356,525
31.958317,-110.980651,526
31.334351,-109.551253,527
31.338906,-109.559752,528
31.33914,-109.56056,529
31.339638,-109.559894,530
31.998235,-110.969996,531
31.962389,-110.771611,532
32.133209,-111.031454,536
32.134151,-111.030397,537
32.134221,-111.030964,538
32.107114,-110.947202,539
32.132772,-111.009142,540
32.133426,-111.001632,541
32.134283,-111.00086,542
32.134176,-110.997071,543
32.134383,-110.997524,544
32.133414,-111.00073,545
32.134275,-111.00241,546
32.134277,-110.999512,547
32.134356,-111.001398,548
32.13609,-111.000759,549
32.134437,-110.976972,550
32.133572,-110.979068,551
32.134383,-110.977366,552
32.044976,-110.714579,553
32.05016,-110.707091,554
32.171978,-111.071121,555
32.085209,-110.803313,556
32.133592,-110.93355,559
32.134729,-110.922273,560
32.133609,-110.923052,561
32.134698,-110.924771,562
32.134553,-110.925795,563
32.134448,-110.923208,564
32.116069,-110.858812,565
32.084575,-110.773261,566
